Name,Quantity,Ordering Threshold,Part Type,Value ,Location,Supplier Name,Supplier Part Number,Link,Description,C,E,L
,20,20,Capacitor,1,B??D01,DigiKey,"478-3836-2-ND	      ",http://www.digikey.ca/product-detail/en/avx-corporation/06032U1R0CAT2A/478-3836-2-ND/1118478,1 pF Ceramic Plate Capacitor +/- .25 pF,1,,
,20,20,Capacitor,1.2,B??D01,DigiKey,"06031U1R2CAT2A-ND	",http://www.digikey.ca/product-detail/en/avx-corporation/06031U1R2CAT2A/06031U1R2CAT2A-ND/1598859,1.2 pF Ceramic Plate Capacitor +/- .25 pF,1,,
,20,20,Capacitor,1.5,B??D02,DigiKey,"06031U1R5CAT2A-ND	",http://www.digikey.ca/product-detail/en/avx-corporation/06031U1R5CAT2A/06031U1R5CAT2A-ND/1598865,1.5 pF Ceramic Plate Capacitor +/- .25 pF,1,,
,20,20,Capacitor,2.2,B??D02,DigiKey,"478-3839-2-ND	",http://www.digikey.ca/product-detail/en/avx-corporation/06032U2R2CAT2A/478-3839-2-ND/1118481,2.2 pF Ceramic Plate Capacitor +/- .25 pF,1,,
,20,20,Capacitor,3.3,B??D03,DigiKey,06031U3R3CAT2A-ND,http://www.digikey.ca/product-detail/en/avx-corporation/06031U3R3CAT2A/06031U3R3CAT2A-ND/1598918,3.3 pF Ceramic Plate Capacitor +/- .25 pF,1,,
,20,20,Capacitor,3.9,B??D03,DigiKey,"06031U3R9CAT2A-ND	",http://www.digikey.ca/product-detail/en/avx-corporation/06031U3R9CAT2A/06031U3R9CAT2A-ND/1598923,3.9 pF Ceramic Plate Capacitor +/- .25 pF,1,,
,20,20,Capacitor,4.7,B??D04,DigiKey,"06031U4R7CAT2A-ND	",http://www.digikey.ca/product-detail/en/avx-corporation/06031U4R7CAT2A/06031U4R7CAT2A-ND/1598936,4.7 pF Ceramic Plate Capacitor +/- .25 pF,1,,
,20,20,Capacitor,5.6,B??D04,DigiKey,"06031U5R6CAT2A-ND	",http://www.digikey.ca/product-detail/en/avx-corporation/06031U5R6CAT2A/06031U5R6CAT2A-ND/1598946,5.6 pF Ceramic Plate Capacitor +/- .25 pF,1,,
,20,20,Capacitor,6.8,B??D05,DigiKey,"06031U6R8CAT2A-ND	",http://www.digikey.ca/product-detail/en/avx-corporation/06031U6R8CAT2A/06031U6R8CAT2A-ND/1598954,6.8 pF Ceramic Plate Capacitor +/- .25 pF,1,,
,20,20,Capacitor,8.2,B??D05,DigiKey,"478-3842-2-ND	",http://www.digikey.ca/product-detail/en/avx-corporation/06032U8R2CAT2A/478-3842-2-ND/1118484,8.2 pF Ceramic Plate Capacitor +/- .25 pF,1,,
,20,20,Capacitor,10,B??D06,DigiKey,"06031U100GAT2A-ND	",http://www.digikey.ca/product-detail/en/avx-corporation/06031U100GAT2A/06031U100GAT2A-ND/1598833,10 pF Ceramic Plate Capacitor +/- 2%,1,,
,20,20,Capacitor,12,B??D06,DigiKey,"06032U120GAT2A-ND	",http://www.digikey.ca/product-detail/en/avx-corporation/06032U120GAT2A/06032U120GAT2A-ND/1598986,12 pF Ceramic Plate Capacitor +/- 2% ,1,,
,20,20,Capacitor,15,B??D07,DigiKey,"06031U150GAT2A-ND	",http://www.digikey.ca/product-detail/en/avx-corporation/06031U150GAT2A/06031U150GAT2A-ND/1598848,15 pF Ceramic Plate Capacitor +/- 2%,1,,
,20,20,Capacitor,18,B??D07,DigiKey,"06031U180GAT2A-ND	",http://www.digikey.ca/product-detail/en/avx-corporation/06031U180GAT2A/06031U180GAT2A-ND/1598853,18 pF Ceramic Plate Capacitor +/- 2%,1,,
,20,20,Capacitor,22,B??D08,DigiKey,"06031U220GAT2A-ND	",http://www.digikey.ca/product-detail/en/avx-corporation/06031U220GAT2A/06031U220GAT2A-ND/1598876,22 pF Ceramic Plate Capacitor +/- 2%,1,,
